Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
[Anqet Farrum],Venus,125.00,33.60,311.50,"Farrum, farra",1994,Egyptian goddess of fertile waters. Changed to Anqet Farra.
Anthony Patera,Venus,70.00,48.20,32.60,"Patera, paterae",1991,Susan B.; American suffrage leader (1820-1906).
Antiope Linea,Venus,0.00,-40.00,350.00,"Linea, lineae",1982,Amazon awarded to Theseus.
Antonina,Venus,13.80,28.10,106.80,"Crater, craters",1985,Russian first name.
Anuket Vallis,Venus,350.00,66.70,8.00,"Vallis, valles",1994,Egyptian river goddess.
Anush,Venus,12.70,14.90,86.50,"Crater, craters",1994,Armenian first name.
Anya,Venus,18.10,39.50,297.80,"Crater, craters",1985,Russian first name.
Apakura Tholus,Venus,10.00,40.30,208.80,"Tholus, tholi",2006,Māori (New Zealand) goddess of justice.
Apgar Patera,Venus,126.00,43.10,83.80,"Patera, paterae",1991,Virginia; American doctor (1909-1974).
Aphrodite Terra,Venus,10000.00,-5.80,104.80,"Terra, terrae",1979,Greek goddess of love.
Api Mons,Venus,190.00,38.90,54.70,"Mons, montes",1985,Scythian goddess of earth.
Apisuahts Vallis,Venus,550.00,-66.50,17.00,"Vallis, valles",1997,Blackfoot/Algonquin name for planet Venus.
Aramaiti Corona,Venus,350.00,-26.30,82.00,"Corona, coronae",1994,Persian fertility goddess.
Aranyani Chasma,Venus,718.00,69.30,74.40,"Chasma, chasmata",1985,Indian forest goddess.
Arasy Mons,Venus,69.00,-40.26,209.74,"Mons, montes","May 05, 2023",Guarani (Paraguay) moon goddess.
Ardwinna Chasma,Venus,500.00,21.00,197.00,"Chasma, chasmata",1997,Continental Celtic wildwood goddess.
Arev Dorsa,Venus,420.00,-52.00,216.00,"Dorsum, dorsa",2000,Armenian female solar deity.
Argimpasa Fluctus,Venus,950.00,0.00,175.50,"Fluctus, fluctūs",1997,Scythian goddess of love.
Ariadne,Venus,23.60,43.90,360.00,"Crater, craters",1985,Greek first name.
Arianrod Fossae,Venus,715.00,37.00,239.90,"Fossa, fossae",1985,Celtic warrior queen.
Artemis Chasma,Venus,3087.00,-41.20,138.50,"Chasma, chasmata",1982,Greek goddess of hunt/moon.
Artemis Corona,Venus,2600.00,-35.00,135.00,"Corona, coronae",1994,Named from associated chasma.
Artio Chasma,Venus,450.00,-35.50,39.00,"Chasma, chasmata",1997,Celtic wildlife bear-goddess.
